2022-07-05 06:17:58 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:17:58 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:17:58 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:03 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:03 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:03 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:03 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:09 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:09 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:09 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:09 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:14 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:14 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:14 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:14 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:19 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:19 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:19 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:19 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:24 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:24 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:24 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:24 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:30 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:30 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:30 ; 36 ; Terminating ; <:*:> restarts:<:NUM:> age:<:DURATION:>
2022-07-05 06:18:30 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:30 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:35 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:35 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:35 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:35 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:40 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:40 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:40 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:40 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:45 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:45 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:45 ; 36 ; Terminating ; <:*:> restarts:<:NUM:> age:<:DURATION:>
2022-07-05 06:18:45 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:45 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:51 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:51 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:51 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:51 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:56 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:56 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:56 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:18:56 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:01 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:01 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:01 ; 36 ; Terminating ; <:*:> restarts:<:NUM:> age:<:DURATION:>
2022-07-05 06:19:01 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:01 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:06 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:06 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:06 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:06 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:11 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:11 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:11 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:11 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:15 ; 9 ; experiment:58 ; Validating the experiment's syntax
2022-07-05 06:19:15 ; 15 ; run:320 ; Running experiment: Modify Sensor Battery Level/ Message-interval
2022-07-05 06:19:15 ; 19 ; run:499 ; Running steady-state hypothesis <:*:> the method
2022-07-05 06:19:15 ; 20 ; hypothesis:182 ; Steady state <:*:> <:*:> <:*:>
2022-07-05 06:19:15 ; 21 ; activity:188 ; Probe: checking battery level
2022-07-05 06:19:15 ; 24 ; hypothesis:221 ; allowed tolerance is <:NUM:>
2022-07-05 06:19:15 ; 20 ; hypothesis:231 ; Steady state <:*:> <:*:> <:*:>
2022-07-05 06:19:15 ; 26 ; activity:188 ; Action: Chaos action to change battery level
2022-07-05 06:19:16 ; 28 ; activity:223 ; Pausing after activity for <:DURATION:>...
2022-07-05 06:19:16 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:16 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:16 ; 36 ; Terminating ; <:*:> restarts:<:NUM:> age:<:DURATION:>
2022-07-05 06:19:16 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:16 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:19 ; 29 ; NOTIFY ; notify/sensor-battery-low/humid-<:NUM:>
2022-07-05 06:19:19 ; 30 ; Battery-Low ; humid-sensor battery is low
2022-07-05 06:19:20 ; 31 ; Battery-Recharged ; sensor battery recharged
2022-07-05 06:19:20 ; 29 ; NOTIFY ; notify/sensor-battery-low/humid-<:NUM:>
2022-07-05 06:19:20 ; 30 ; Battery-Low ; humid-sensor battery is low
2022-07-05 06:19:21 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:21 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:21 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:21 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:21 ; 31 ; Battery-Recharged ; sensor battery recharged
2022-07-05 06:19:26 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:26 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:26 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:26 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:31 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:31 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:31 ; 36 ; Terminating ; <:*:> restarts:<:NUM:> age:<:DURATION:>
2022-07-05 06:19:31 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:31 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:36 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:36 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:36 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:36 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:41 ; 19 ; run:529 ; Running steady-state hypothesis <:*:> the method
2022-07-05 06:19:41 ; 20 ; hypothesis:182 ; Steady state <:*:> <:*:> <:*:>
2022-07-05 06:19:41 ; 21 ; activity:188 ; Probe: checking battery level
2022-07-05 06:19:41 ; 24 ; hypothesis:221 ; allowed tolerance is <:NUM:>
2022-07-05 06:19:41 ; 20 ; hypothesis:231 ; Steady state <:*:> <:*:> <:*:>
2022-07-05 06:19:41 ; 34 ; run:451 ; Experiment ended with status: <:*:>
2022-07-05 06:19:41 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:41 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:41 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:41 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:47 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:47 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:47 ; 36 ; Terminating ; <:*:> restarts:<:NUM:> age:<:DURATION:>
2022-07-05 06:19:47 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:47 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:52 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:52 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
2022-07-05 06:19:52 ; 1 ; Running ; <:*:> restarts:<:NUM:>(<:DURATION:>ago) age:<:DURATION:>
